relative_day,metric,observed_value,baseline,deviation,z_score,severity
26,clicks,206145.0,193669.2857142857,12475.71428571429,0.7927660475753886,normal
27,clicks,185940.0,192798.42857142858,-6858.42857142858,-0.4674992095997898,normal
28,clicks,168527.0,190373.7142857143,-21846.71428571429,-1.548080600334036,normal
29,clicks,185143.0,185051.57142857142,91.42857142857974,0.006368841166440049,normal
30,clicks,176695.0,183635.57142857142,-6940.57142857142,-0.5074533071147606,boundary_excluded
0,ctr,0.3483003662363317,,,,boundary_excluded
1,ctr,0.343858570164649,,,,warmup
2,ctr,0.3502655585219286,,,,warmup
3,ctr,0.3588737173984548,,,,warmup
4,ctr,0.3554957880848473,,,,warmup
5,ctr,0.3399763384077786,,,,warmup
6,ctr,0.3453515531542448,,,,warmup
7,ctr,0.3481102814895105,,,,warmup
8,ctr,0.3490635523748481,0.34884740103163053,0.00021615134321756324,0.03264248941175625,normal
9,ctr,0.3591628812329755,0.34959096991880184,0.009571911314173676,1.5315033624284409,normal
10,ctr,0.3731750656857023,0.35086201602038,0.022313049665322326,3.0832481740507776,review
11,ctr,0.3659261399938371,0.352905065775701,0.013021074218136086,1.1897307925456326,normal
12,ctr,0.3493303223413526,0.35439511604841384,-0.005064793707061255,-0.4215798245917826,normal
13,ctr,0.3572029094774982,0.3557313994674958,0.001471510010002397,0.13912270661143655,normal
14,ctr,0.3591156622859693,0.35742445037081777,0.001691211915151536,0.17735132824388308,normal
15,ctr,0.364282494543384,0.3589966476274547,0.005285846915929315,0.6141844561816076,normal
16,ctr,0.3740663205493217,0.36117078222295984,0.012895538326361866,1.7115759070778016,normal
17,ctr,0.3831336700291832,0.3632998449824379,0.0198338250467453,2.2382718909575616,normal
18,ctr,0.3789765510684602,0.3647225027457924,0.0142540483226678,1.272530285650793,normal
19,ctr,0.3644560831115309,0.36658684718502416,-0.0021307640734932742,-0.1711269217998865,normal
20,ctr,0.3669545088748835,0.3687476701521925,-0.0017931612773089967,-0.1786788407918021,normal
21,ctr,0.3661047706307765,0.3701407557803904,-0.0040359851496138965,-0.4606232942436206,normal
22,ctr,0.3691797246885096,0.3711391998296486,-0.0019594751411389777,-0.25714579566539636,normal
23,ctr,0.3681766878719474,0.37183880413609505,-0.0036621162641476412,-0.5163598257152158,normal
24,ctr,0.3778940807684552,0.3709974280393273,0.006896652729127928,0.9668502236799952,normal
25,ctr,0.3710877727122146,0.37024891528779474,0.0008388574244198588,0.1447017867722727,normal
26,ctr,0.3546055981394581,0.3691219469511883,-0.014516348811730195,-3.2833360560943445,review
27,ctr,0.358620370423945,0.3677147348123207,-0.009094364388375686,-1.3027993089865513,normal
28,ctr,0.3668614965986395,0.3665241436050438,0.0003373529935956632,0.04327751630403703,normal
29,ctr,0.3749146968472764,0.3666322473147385,0.008282449532537928,1.0627283497998588,normal
30,ctr,0.3771899302168209,0.3674515290517052,0.009738401165115707,1.1614074480122534,boundary_excluded
0,conversions,14091.0,,,,boundary_excluded
1,conversions,13149.0,,,,warmup
2,conversions,12750.0,,,,warmup
3,conversions,12017.0,,,,warmup
4,conversions,14564.0,,,,warmup
5,conversions,15354.0,,,,warmup
6,conversions,14233.0,,,,warmup
7,conversions,13507.0,,,,warmup
8,conversions,13706.0,13653.42857142857,52.57142857142935,0.046028721293618485,normal
9,conversions,12538.0,13733.0,-1195.0,-1.0666417796378058,normal
10,conversions,11786.0,13702.714285714286,-1916.7142857142862,-1.6613497884610393,normal
11,conversions,14351.0,13669.714285714286,681.2857142857138,0.5622081049906534,normal
12,conversions,14800.0,13639.285714285714,1160.7142857142862,0.9769939565957783,normal
13,conversions,13958.0,13560.142857142857,397.8571428571431,0.37284832614125935,normal
14,conversions,13448.0,13520.857142857143,-72.85714285714312,-0.06985584823774837,normal
15,conversions,13114.0,13512.42857142857,-398.42857142857065,-0.38188050621185493,normal
16,conversions,13120.0,13427.857142857143,-307.8571428571431,-0.2934752947195069,normal
17,conversions,12339.0,13511.0,-1172.0,-1.1862196277901509,normal
18,conversions,14930.0,13590.0,1340.0,1.5994587910976392,normal
19,conversions,15122.0,13672.714285714286,1449.2857142857138,1.5305362053678129,normal
20,conversions,14662.0,13718.714285714286,943.2857142857138,0.9283422838561812,normal
21,conversions,14657.0,13819.285714285714,837.7142857142862,0.7779968803398303,normal
22,conversions,14179.0,13992.0,187.0,0.1693996947408528,normal
23,conversions,13339.0,14144.142857142857,-805.1428571428569,-0.7787493066781809,normal
24,conversions,12001.0,14175.42857142857,-2174.4285714285706,-2.173317979230319,normal
25,conversions,14066.0,14127.142857142857,-61.14285714285688,-0.05526003802594478,normal
26,conversions,15690.0,14003.714285714286,1686.2857142857138,1.608054075991678,normal
27,conversions,15516.0,14084.857142857143,1431.1428571428569,1.228331392961513,normal
28,conversions,14902.0,14206.857142857143,695.1428571428569,0.5451529418336236,normal
29,conversions,17651.0,14241.857142857143,3409.142857142857,2.6370457962073988,normal
30,conversions,19190.0,14737.857142857143,4452.142857142857,2.443185122543726,boundary_excluded
0,attributed_conversions,7650.0,,,,boundary_excluded
1,attributed_conversions,7248.0,,,,warmup
2,attributed_conversions,6997.0,,,,warmup
3,attributed_conversions,6517.0,,,,warmup
4,attributed_conversions,7882.0,,,,warmup
5,attributed_conversions,8231.0,,,,warmup
6,attributed_conversions,7787.0,,,,warmup
7,attributed_conversions,7367.0,,,,warmup
8,attributed_conversions,7415.0,7432.714285714285,-17.714285714285325,-0.030443587943025284,normal
9,attributed_conversions,6756.0,7456.571428571428,-700.5714285714284,-1.2153520403104465,normal
10,attributed_conversions,6392.0,7422.142857142857,-1030.1428571428569,-1.676651223739562,normal
11,attributed_conversions,7788.0,7404.285714285715,383.7142857142853,0.5938968023779105,normal
12,attributed_conversions,7905.0,7390.857142857143,514.1428571428569,0.8091634302300562,normal
13,attributed_conversions,7506.0,7344.285714285715,161.71428571428532,0.2825288521909829,normal
14,attributed_conversions,7341.0,7304.142857142857,36.85714285714312,0.06758136912737057,normal
15,attributed_conversions,7226.0,7300.428571428572,-74.42857142857156,-0.1365753935878322,normal
16,attributed_conversions,6921.0,7273.428571428572,-352.42857142857156,-0.6490166667829199,normal
17,attributed_conversions,6410.0,7297.0,-887.0,-1.7060826302543317,normal
18,attributed_conversions,7826.0,7299.571428571428,526.4285714285716,1.022785534465887,normal
19,attributed_conversions,8093.0,7305.0,788.0,1.5128411074634998,normal
20,attributed_conversions,7988.0,7331.857142857143,656.1428571428569,1.1710133279147392,normal
21,attributed_conversions,7980.0,7400.714285714285,579.2857142857147,0.9458091665219237,normal
22,attributed_conversions,7723.0,7492.0,231.0,0.35612728649702746,normal
23,attributed_conversions,7279.0,7563.0,-284.0,-0.4424774745427625,normal
24,attributed_conversions,6506.0,7614.142857142857,-1108.1428571428569,-1.8633950769758032,normal
25,attributed_conversions,7749.0,7627.857142857143,121.14285714285688,0.2153534321105254,normal
26,attributed_conversions,8208.0,7616.857142857143,591.1428571428569,1.057973374993246,normal
27,attributed_conversions,8307.0,7633.285714285715,673.7142857142853,1.1686442670552093,normal
28,attributed_conversions,8051.0,7678.857142857143,372.1428571428569,0.6000755170711267,normal
29,attributed_conversions,9655.0,7689.0,1966.0,3.1382948525569367,review
30,attributed_conversions,10453.0,7965.0,2488.0,2.555900156040614,boundary_excluded
0,attribution_rate,0.5428997232275921,,,,boundary_excluded
1,attribution_rate,0.5512206251425964,,,,warmup
2,attribution_rate,0.5487843137254902,,,,warmup
3,attribution_rate,0.5423150536739619,,,,warmup
4,attribution_rate,0.5411974732216424,,,,warmup
5,attribution_rate,0.5360818027875472,,,,warmup
6,attribution_rate,0.5471088315885618,,,,warmup
7,attribution_rate,0.5454208928703635,,,,warmup
8,attribution_rate,0.5410039398803443,0.5445898561443091,-0.0035859162639647613,-0.6995297761273919,normal
9,attribution_rate,0.538841920561493,0.5431303296782731,-0.004288409116780079,-0.9941436652945148,normal
10,attribution_rate,0.542338367554726,0.5417099877977021,0.0006283797570239003,0.1679936738942259,normal
11,attribution_rate,0.5426799526165424,0.5417133183520969,0.0009666342644455428,0.2583799185972544,normal
12,attribution_rate,0.5341216216216216,0.5419251011227969,-0.0078034795011753255,-2.0814720534339983,normal
13,attribution_rate,0.5377561255194154,0.5416450752419504,-0.003888949722534951,-0.9060739808152061,normal
14,attribution_rate,0.5458804283164783,0.5403089743749295,0.005571453941548787,1.4952117146951678,normal
15,attribution_rate,0.5510141833155406,0.540374622295803,0.01063956101973762,2.7752255072070797,normal
16,attribution_rate,0.527515243902439,0.5418046570722596,-0.014289413169820575,-2.561805170160785,normal
17,attribution_rate,0.5194910446551585,0.5401865604066804,-0.020695515751521953,-2.65794413859025,normal
18,attribution_rate,0.5241795043536503,0.5369226571353136,-0.01274315278166327,-1.1690963946022006,normal
19,attribution_rate,0.5351805316757042,0.5342797359549005,0.0009007957208037043,0.07834455318144354,normal
20,attribution_rate,0.5448097121811486,0.5344310088197695,0.010378703361379138,0.902306777687676,normal
21,attribution_rate,0.5444497509722317,0.5354386640571599,0.009011086915071798,0.7426385465535553,normal
22,attribution_rate,0.5446787502644757,0.5352342815794104,0.00944446868506521,0.791048829337715,normal
23,attribution_rate,0.5456930804408127,0.5343292197149726,0.011363860725840058,1.059899154473012,normal
24,attribution_rate,0.5421214898758436,0.5369260535061688,0.0051954363696747885,0.4725650001864242,normal
25,attribution_rate,0.55090288639272,0.540158974251981,0.010743912140738998,1.3588740855571044,normal
26,attribution_rate,0.5231357552581262,0.5439766002575623,-0.02084084499943617,-4.424170348024754,review
27,attribution_rate,0.5353828306264501,0.5422559179121941,-0.006873087285743984,-0.7770726431342724,normal
28,attribution_rate,0.540263051939337,0.5409092205472372,-0.0006461686079002327,-0.07096826859157558,normal
29,attribution_rate,0.5469945045606481,0.540311120685395,0.006683383875253135,0.7450642612745079,normal
30,attribution_rate,0.5447107868681605,0.5406419427277054,0.004068844140455163,0.4423643372855191,boundary_excluded
0,unique_users,457888.0,,,,boundary_excluded
1,unique_users,445698.0,,,,warmup
2,unique_users,425341.0,,,,warmup
3,unique_users,399911.0,,,,warmup
4,unique_users,471549.0,,,,warmup
5,unique_users,509210.0,,,,warmup
6,unique_users,467263.0,,,,warmup
7,unique_users,441866.0,,,,warmup
8,unique_users,457075.0,451548.28571428574,5526.714285714261,0.15681059279327153,normal
9,unique_users,405592.0,453173.5714285714,-47581.57142857142,-1.3520542559163762,normal
10,unique_users,371746.0,450352.28571428574,-78606.28571428574,-2.045056175647248,normal
11,unique_users,461043.0,446328.71428571426,14714.28571428574,0.32385632073352166,normal
12,unique_users,487773.0,444827.85714285716,42945.14285714284,0.9622692282640773,normal
13,unique_users,445528.0,441765.4285714286,3762.5714285714203,0.09414238793407273,normal
14,unique_users,422262.0,438660.4285714286,-16398.42857142858,-0.42624193619768463,normal
15,unique_users,409279.0,435859.85714285716,-26580.85714285716,-0.6831209920736746,normal
16,unique_users,385375.0,429031.85714285716,-43656.85714285716,-1.1263107319061134,normal
17,unique_users,361854.0,426143.71428571426,-64289.71428571426,-1.550721352733817,normal
18,unique_users,431237.0,424730.5714285714,6506.42857142858,0.14879439170054665,normal
19,unique_users,467768.0,420472.5714285714,47295.42857142858,1.154493499613818,normal
20,unique_users,446217.0,417614.71428571426,28602.28571428574,0.7973942759460226,normal
21,unique_users,453334.0,417713.14285714284,35620.85714285716,0.9905720843241749,normal
22,unique_users,425606.0,422152.0,3454.0,0.08983857746866357,normal
23,unique_users,408715.0,424484.4285714286,-15769.42857142858,-0.4146729475162896,normal
24,unique_users,354369.0,427818.71428571426,-73449.71428571426,-2.1030964805933876,normal
25,unique_users,411301.0,426749.4285714286,-15448.42857142858,-0.4140152060488437,normal
26,unique_users,469014.0,423901.4285714286,45112.57142857142,1.1974726126432758,normal
27,unique_users,420463.0,424079.4285714286,-3616.4285714285797,-0.09537720685406614,normal
28,unique_users,376364.0,420400.28571428574,-44036.28571428574,-1.2018963603286377,normal
29,unique_users,398638.0,409404.5714285714,-10766.57142857142,-0.29370554102344176,normal
30,unique_users,379098.0,405552.0,-26454.0,-0.7331259593002639,boundary_excluded
0,transformed_cost,154.70108197112324,,,,boundary_excluded
1,transformed_cost,154.1431840946217,,,,warmup
2,transformed_cost,146.85204737559755,,,,warmup
3,transformed_cost,136.24571104288475,,,,warmup
4,transformed_cost,167.56820613792846,,,,warmup
5,transformed_cost,174.81309564293866,,,,warmup
6,transformed_cost,160.97037872601717,,,,warmup
7,transformed_cost,155.61073528681044,,,,warmup
8,transformed_cost,152.61227186605046,156.6004797581141,-3.9882078920636275,-0.31088175050606875,normal
9,transformed_cost,137.77191985280123,156.38177801117536,-18.609858158374124,-1.443691029184221,normal
10,transformed_cost,124.62394073916896,155.08461693649016,-30.460676197321206,-2.118256691952411,normal
11,transformed_cost,153.70908525068,153.42436403595934,0.2847212147206619,0.016464148156364627,normal
12,transformed_cost,159.84416126782716,151.4444896234953,8.399671644331875,0.5197664969191795,normal
13,transformed_cost,150.08132351698407,149.30607042705077,0.775253089933301,0.05834255926719484,normal
14,transformed_cost,144.37729486499492,147.7504911114746,-3.373196246479665,-0.27435181177797013,normal
15,transformed_cost,148.24213163612356,146.14571390835812,2.0964177277654414,0.17732832777806545,normal
16,transformed_cost,153.9742769674306,145.5214081612257,8.45286880620489,0.73275369353222,normal
17,transformed_cost,144.78057303475225,147.83603060617276,-3.0554575714205043,-0.2693076361149503,normal
18,transformed_cost,177.57028177851322,150.7155495055418,26.854732272971432,4.838499783099572,review
19,transformed_cost,188.01795624803964,154.12429186666083,33.89366438137881,2.9068773805955415,normal
20,transformed_cost,185.8257527908774,158.14911972097687,27.676633069900532,1.5898161101120727,normal
21,transformed_cost,180.732903055632,163.25546676010453,17.47743629552747,0.8856176425102259,normal
22,transformed_cost,164.15235248588712,168.44912507305267,-4.296772587165549,-0.22983543982496302,normal
23,transformed_cost,157.16917340756285,170.72201376587603,-13.552840358313176,-0.8121166393474013,normal
24,transformed_cost,132.78375312559717,171.1784275430378,-38.394674417440626,-2.371480852566794,normal
25,transformed_cost,149.6595206544081,169.4645961274442,-19.805075473036084,-1.0051324115127078,normal
26,transformed_cost,169.34223359251533,165.47734453828633,3.864889054228996,0.18766887491551362,normal
27,transformed_cost,159.1823051304003,162.8093841589257,-3.627079028525401,-0.19857610237772536,normal
28,transformed_cost,141.81208545501977,159.0031773502861,-17.19109189526634,-1.1320104870981738,normal
29,transformed_cost,157.66608138241455,153.44306055019865,4.223020832215894,0.3286460194466164,normal
30,transformed_cost,144.50472257112125,152.51645039255973,-8.011727821438484,-0.6586222944957849,boundary_excluded
0,malformed_conversion_key_rate,0.0,,,,boundary_excluded
1,malformed_conversion_key_rate,0.0,,,,warmup
2,malformed_conversion_key_rate,0.0,,,,warmup
3,malformed_conversion_key_rate,0.0,,,,warmup
4,malformed_conversion_key_rate,0.0,,,,warmup
5,malformed_conversion_key_rate,0.0,,,,warmup
6,malformed_conversion_key_rate,0.0,,,,warmup
7,malformed_conversion_key_rate,0.0,,,,warmup
8,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
9,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
10,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
11,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
12,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
13,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
14,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
15,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
16,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
17,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
18,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
19,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
20,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
21,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
22,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
23,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
24,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
25,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
26,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
27,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
28,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
29,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,normal
30,malformed_conversion_key_rate,0.0,0.0,0.0,0.0,boundary_excluded
0,replay_duplicate_rate,0.0,,,,boundary_excluded
1,replay_duplicate_rate,0.0,,,,warmup
2,replay_duplicate_rate,0.0,,,,warmup
3,replay_duplicate_rate,0.0,,,,warmup
4,replay_duplicate_rate,0.0,,,,warmup
5,replay_duplicate_rate,0.0,,,,warmup
6,replay_duplicate_rate,0.0,,,,warmup
7,replay_duplicate_rate,0.0,,,,warmup
8,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
9,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
10,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
11,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
12,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
13,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
14,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
15,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
16,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
17,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
18,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
19,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
20,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
21,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
22,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
23,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
24,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
25,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
26,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
27,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
28,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
29,replay_duplicate_rate,0.0,0.0,0.0,0.0,normal
30,replay_duplicate_rate,0.0,0.0,0.0,0.0,boundary_excluded
